"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt","salario_medio","salario_medio_brancos","salario_medio_negros","razao_salario_medio"
"2904308","BA",2012,782,224,1088.32,1147,954.99,1.2
"2904308","BA",2014,846,339,1274.56,1353.17,1173.39,1.15
"2904308","BA",2016,747,297,1571.51,1844.96,1523.68,1.21
"2904407","BA",2012,489,37,851.49,1130.81,921.99,1.23
"2904407","BA",2014,505,55,949.8,1137.77,1054.74,1.08
"2904407","BA",2016,492,67,1115.32,1489.09,1276.86,1.17
"2904506","BA",2012,504,113,1163.56,989.1,1043.8,0.95
"2904506","BA",2014,482,84,1536.66,1378.44,2397.43,0.57
"2904506","BA",2016,500,91,1904.04,1110.86,1709.9,0.65
"2904605","BA",2012,11218,9859,1107.07,1114.16,1050.85,1.06
"2904605","BA",2014,12684,11180,1500.51,1733.53,1357.74,1.28
"2904605","BA",2016,13152,11978,1566.13,1615.57,1567.27,1.03
"2904704","BA",2012,1197,586,936,891.43,843.33,1.06
"2904704","BA",2014,1243,630,1132.3,1068.98,988.01,1.08
"2904704","BA",2016,1141,567,1382.61,1246.39,1173.79,1.06
"2904753","BA",2012,1134,51,1007.8,2224.77,1114.63,2
"2904753","BA",2014,1022,44,1246.32,3018.93,1614.04,1.87
"2904753","BA",2016,976,72,1330.03,3105.18,1492.58,2.08
"2904803","BA",2012,571,257,842.79,924.16,809.2,1.14
"2904803","BA",2014,810,209,942.63,1056.73,828.17,1.28
"2904803","BA",2016,990,290,1117.33,1239.85,1011.93,1.23
"2904852","BA",2012,732,239,1017.82,1004.43,804.84,1.25
"2904852","BA",2014,1030,424,1139.97,1241.76,990.3,1.25
"2904852","BA",2016,899,341,1446.5,1680.19,1114.08,1.51
"2904902","BA",2012,3681,2919,1114.67,1471.66,1068.15,1.38
"2904902","BA",2014,3444,2701,1327.6,1910.37,1287.54,1.48
"2904902","BA",2016,3251,2594,1657.02,2634.79,1543.4,1.71
"2905008","BA",2012,2417,1761,897.25,860.39,901.8,0.95
"2905008","BA",2014,2575,1959,1072.37,1048.88,1064.41,0.99
"2905008","BA",2016,2763,2114,1305.84,1280.96,1335.44,0.96
