"id_municipio","sigla_uf","ano","raca_cor_nome","salario_medio"
"1200328","AC",2016,"Negra",1224.51035911602
"1200328","AC",2016,"Não identificado",1354.02765217391
"1200336","AC",2012,"Amarela",1103.86555555556
"1200336","AC",2012,"Branca",1288.00434782609
"1200336","AC",2012,"Negra",958.594052287581
"1200336","AC",2012,"Não identificado",1594.18830769231
"1200336","AC",2014,"Amarela",1620.28285714286
"1200336","AC",2014,"Branca",2057.83461538462
"1200336","AC",2014,"Negra",1060.98655172414
"1200336","AC",2014,"Não identificado",1576.61820359281
"1200336","AC",2016,"Amarela",2495.53
"1200336","AC",2016,"Branca",2033.60666666667
"1200336","AC",2016,"Negra",1308.94259541985
"1200336","AC",2016,"Não identificado",1429.38670921986
"1200344","AC",2012,"Branca",2316.958
"1200344","AC",2012,"Negra",1362.116
"1200344","AC",2012,"Não identificado",1432.24844594594
"1200344","AC",2014,"Amarela",800
"1200344","AC",2014,"Branca",8719.43333333333
"1200344","AC",2014,"Negra",1366.293
"1200344","AC",2014,"Não identificado",1559.9171875
"1200344","AC",2016,"Amarela",1651.15
"1200344","AC",2016,"Branca",3808.79258064516
"1200344","AC",2016,"Indígena",1048.53
"1200344","AC",2016,"Negra",1946.20572727273
"1200344","AC",2016,"Não identificado",1916.77750620347
"1200351","AC",2012,"Amarela",719.49
"1200351","AC",2012,"Branca",1042.5
"1200351","AC",2012,"Indígena",742.528
"1200351","AC",2012,"Negra",894.294585635359
"1200351","AC",2012,"Não identificado",1218.73153846154
"1200351","AC",2014,"Amarela",935.015
"1200351","AC",2014,"Branca",1123.2
"1200351","AC",2014,"Negra",968.971111111111
"1200351","AC",2014,"Não identificado",1182.15865942029
"1200351","AC",2016,"Branca",881.478571428571
"1200351","AC",2016,"Negra",1018.66342857143
"1200351","AC",2016,"Não identificado",1421.17608963093
"1200385","AC",2012,"Amarela",879.7775
"1200385","AC",2012,"Branca",1301.12082191781
"1200385","AC",2012,"Indígena",1122.145
"1200385","AC",2012,"Negra",922.549213649851
"1200385","AC",2012,"Não identificado",1404.97820125786
"1200385","AC",2014,"Amarela",879.578181818182
"1200385","AC",2014,"Branca",1381.75125
"1200385","AC",2014,"Indígena",1166.34666666667
"1200385","AC",2014,"Negra",980.699246575343
"1200385","AC",2014,"Não identificado",1463.01477732793
"1200385","AC",2016,"Amarela",1967.23
"1200385","AC",2016,"Branca",1727.67302325581
"1200385","AC",2016,"Indígena",950.4
"1200385","AC",2016,"Negra",1352.94852380952
"1200385","AC",2016,"Não identificado",1556.80573751452
"1200393","AC",2012,"Amarela",722
"1200393","AC",2012,"Branca",943.643333333333
"1200393","AC",2012,"Negra",898.462916666667
"1200393","AC",2012,"Não identificado",1188.39607843137
"1200393","AC",2014,"Amarela",598.435
"1200393","AC",2014,"Branca",952.742
"1200393","AC",2014,"Negra",1065.594
"1200393","AC",2014,"Não identificado",1179.408125
"1200393","AC",2016,"Branca",947.9325
"1200393","AC",2016,"Negra",1076.95655172414
"1200393","AC",2016,"Não identificado",1354.20541838134
"1200401","AC",2012,"Amarela",1375.43631137725
"1200401","AC",2012,"Branca",1598.10732012171
"1200401","AC",2012,"Indígena",981.136928571429
"1200401","AC",2012,"Negra",1220.98304146574
"1200401","AC",2012,"Não identificado",2456.21867104887
"1200401","AC",2014,"Amarela",1591.25688836104
"1200401","AC",2014,"Branca",1834.88535011403
"1200401","AC",2014,"Indígena",1204.49474747475
"1200401","AC",2014,"Negra",1385.31615183664
"1200401","AC",2014,"Não identificado",2868.83663424556
"1200401","AC",2016,"Amarela",1860.0120283688
"1200401","AC",2016,"Branca",2302.76485478931
"1200401","AC",2016,"Indígena",1434.83375
"1200401","AC",2016,"Negra",1599.18688768632
"1200401","AC",2016,"Não identificado",3258.30557781838
"1200427","AC",2012,"Branca",671.76
"1200427","AC",2012,"Negra",986.388333333333
"1200427","AC",2012,"Não identificado",1228.10927728614
"1200427","AC",2014,"Branca",1313.46625
"1200427","AC",2014,"Negra",1092.83333333333
"1200427","AC",2014,"Não identificado",1625.85589677419
"1200427","AC",2016,"Branca",1185.6875
"1200427","AC",2016,"Negra",1250.2924137931
"1200427","AC",2016,"Não identificado",2028.29928473177
"1200435","AC",2012,"Amarela",1375.56444444444
"1200435","AC",2012,"Branca",2020.68263157895
"1200435","AC",2012,"Indígena",2381.50333333333
"1200435","AC",2012,"Negra",1491.87295302013
"1200435","AC",2012,"Não identificado",1084.168
"1200435","AC",2014,"Amarela",1467.83222222222
"1200435","AC",2014,"Branca",1909.26742857143
"1200435","AC",2014,"Indígena",2142.306
"1200435","AC",2014,"Negra",1496.30265306122
"1200435","AC",2014,"Não identificado",1048.63
"1200435","AC",2016,"Amarela",1475.444
"1200435","AC",2016,"Branca",2064.494375
"1200435","AC",2016,"Indígena",1462.18375
"1200435","AC",2016,"Negra",1597.38878453039
"1200435","AC",2016,"Não identificado",1344.44454545455
"1200450","AC",2012,"Amarela",940.962
"1200450","AC",2012,"Branca",1107.62763736264
"1200450","AC",2012,"Negra",915.465871066769
"1200450","AC",2012,"Não identificado",1257.20218418908
"1200450","AC",2014,"Amarela",1094.06833333333
"1200450","AC",2014,"Branca",1667.86244897959
"1200450","AC",2014,"Negra",1153.692879046
"1200450","AC",2014,"Não identificado",1506.8037472119
"1200450","AC",2016,"Amarela",1273.79583333333
"1200450","AC",2016,"Branca",1909.3797368421
"1200450","AC",2016,"Indígena",1397.13
"1200450","AC",2016,"Negra",1299.24294625083
"1200450","AC",2016,"Não identificado",1576.12387715931
"1200500","AC",2012,"Amarela",937.5725
"1200500","AC",2012,"Branca",1097.54048128342
"1200500","AC",2012,"Negra",992.280852601156
"1200500","AC",2012,"Não identificado",1339.97866374589
"1200500","AC",2014,"Amarela",1048.366
"1200500","AC",2014,"Branca",1445.48501960784
"1200500","AC",2014,"Indígena",1623.39
"1200500","AC",2014,"Negra",1320.74408507223
"1200500","AC",2014,"Não identificado",1302.39709081022
"1200500","AC",2016,"Amarela",960.202142857143
"1200500","AC",2016,"Branca",1801.51063291139
"1200500","AC",2016,"Indígena",1284.55
"1200500","AC",2016,"Negra",1321.18779145078
"1200500","AC",2016,"Não identificado",1671.10536164565
"1200609","AC",2012,"Amarela",685.12875
"1200609","AC",2012,"Branca",2066.21267605634
"1200609","AC",2012,"Indígena",686.455
"1200609","AC",2012,"Negra",1220.73767241379
"1200609","AC",2012,"Não identificado",1342.40071875
"1200609","AC",2014,"Amarela",765.908
"1200609","AC",2014,"Branca",2794.77742424242
"1200609","AC",2014,"Negra",1463.47120678818
"1200609","AC",2014,"Não identificado",1625.85715665236
"1200609","AC",2016,"Amarela",1055.522
"1200609","AC",2016,"Branca",3226.575
"1200609","AC",2016,"Negra",1361.67539164491
"1200609","AC",2016,"Não identificado",1713.60519571295
"1200708","AC",2012,"Amarela",2356.39
"1200708","AC",2012,"Branca",1523.10815789474
"1200708","AC",2012,"Indígena",622
"1200708","AC",2012,"Negra",1223.37061011905
"1200708","AC",2012,"Não identificado",1002.49682291667
"1200708","AC",2014,"Amarela",1684.054
"1200708","AC",2014,"Branca",1268.13828402367
"1200708","AC",2014,"Negra",1286.821825
"1200708","AC",2014,"Não identificado",1327.98224137931
"1200708","AC",2016,"Amarela",1109.77464285714
"1200708","AC",2016,"Branca",1729.75628099174
"1200708","AC",2016,"Indígena",6953.39
"1200708","AC",2016,"Negra",1335.25053435114
"1200708","AC",2016,"Não identificado",1744.77538860104
"1200807","AC",2012,"Amarela",1243.99
"1200807","AC",2012,"Branca",967.165054945055
"1200807","AC",2012,"Negra",889.315384615384
"1200807","AC",2012,"Não identificado",912.161447368421
"1200807","AC",2014,"Amarela",2533.17
"1200807","AC",2014,"Branca",1295.93945054945
"1200807","AC",2014,"Negra",1431.26667272727
"1200807","AC",2014,"Não identificado",1342.07913875598
"1200807","AC",2016,"Amarela",1869.97571428571
"1200807","AC",2016,"Branca",1393.51655913979
"1200807","AC",2016,"Negra",1432.41721126761
"1200807","AC",2016,"Não identificado",1519.70682364729
"2700102","AL",2012,"Branca",1731.79731481481
"2700102","AL",2012,"Indígena",988.915
"2700102","AL",2012,"Negra",1254.22287825059
"2700102","AL",2012,"Não identificado",1028.74988505747
"2700102","AL",2014,"Amarela",1855.02
"2700102","AL",2014,"Branca",1484.45957494407
"2700102","AL",2014,"Negra",1013.99448905109
"2700102","AL",2014,"Não identificado",1193.6486119403
"2700102","AL",2016,"Amarela",0
"2700102","AL",2016,"Branca",2102.87238095238
"2700102","AL",2016,"Negra",1419.33013333333
"2700102","AL",2016,"Não identificado",1432.80909807355
"2700201","AL",2012,"Amarela",634.76
"2700201","AL",2012,"Branca",1133.52515463918
"2700201","AL",2012,"Negra",880.426953642384
"2700201","AL",2012,"Não identificado",998.50754027927
"2700201","AL",2014,"Amarela",724
"2700201","AL",2014,"Branca",987.878907563025
"2700201","AL",2014,"Negra",1028.32642512077
"2700201","AL",2014,"Não identificado",1182.85889576883
"2700201","AL",2016,"Branca",1305.52836065574
"2700201","AL",2016,"Negra",1038.26228571428
"2700201","AL",2016,"Não identificado",1550.79168380463
"2700300","AL",2012,"Amarela",1028.3070718232
"2700300","AL",2012,"Branca",1023.42615249319
"2700300","AL",2012,"Indígena",898.9351
"2700300","AL",2012,"Negra",884.376373726426
"2700300","AL",2012,"Não identificado",1253.07520182379
"2700300","AL",2014,"Amarela",1095.81290519878
"2700300","AL",2014,"Branca",1212.43842469598
"2700300","AL",2014,"Indígena",1209.65891891892
"2700300","AL",2014,"Negra",1033.55421128342
"2700300","AL",2014,"Não identificado",1509.55118016194
"2700300","AL",2016,"Amarela",1303.95893982808
"2700300","AL",2016,"Branca",1450.88754768108
"2700300","AL",2016,"Indígena",1439.68555555556
"2700300","AL",2016,"Negra",1217.38385115283
"2700300","AL",2016,"Não identificado",1715.36822895024
"2700409","AL",2012,"Amarela",605.91
"2700409","AL",2012,"Branca",1154.31626279864
"2700409","AL",2012,"Indígena",1010.5425
"2700409","AL",2012,"Negra",899.638003395586
"2700409","AL",2012,"Não identificado",1190.25833420639
"2700409","AL",2014,"Amarela",1470.91818181818
"2700409","AL",2014,"Branca",1263.20956738769
"2700409","AL",2014,"Indígena",1175.35
"2700409","AL",2014,"Negra",939.555330892705
"2700409","AL",2014,"Não identificado",1357.5086273513
"2700409","AL",2016,"Amarela",1979.07
"2700409","AL",2016,"Branca",1617.13403571428
"2700409","AL",2016,"Indígena",1163.84444444444
"2700409","AL",2016,"Negra",1262.02250469748
"2700409","AL",2016,"Não identificado",2004.42920279024
"2700508","AL",2012,"Branca",1237.61346938775
"2700508","AL",2012,"Indígena",790.29
"2700508","AL",2012,"Negra",981.155148936169
"2700508","AL",2012,"Não identificado",1249.79988130564
"2700508","AL",2014,"Branca",1053.77492753623
"2700508","AL",2014,"Negra",933.051507936508
"2700508","AL",2014,"Não identificado",1467.45267625899
