"id_municipio","sigla_uf","ano","salario_medio"
"2702553","AL",2012,980.38574013158
"2702553","AL",2014,1537.31568627451
"2702553","AL",2016,1484.54678205128
"2702603","AL",2012,1180.21899138991
"2702603","AL",2014,1397.8296835443
"2702603","AL",2016,1700.5103207331
"2702702","AL",2012,1100.3160952381
"2702702","AL",2014,1195.35453310696
"2702702","AL",2016,1361.37255434783
"2702801","AL",2012,671.520830223882
"2702801","AL",2014,780.733884955752
"2702801","AL",2016,931.45331885317
"2702900","AL",2012,874.543055222088
"2702900","AL",2014,1566.89726533629
"2702900","AL",2016,1346.40098501071
"2703007","AL",2012,1031.22063053097
"2703007","AL",2014,1145.08494393476
"2703007","AL",2016,1424.53358444715
"2703106","AL",2012,1267.49586700337
"2703106","AL",2014,1504.5126868178
"2703106","AL",2016,1774.00051908397
"2703205","AL",2012,1132.6340806373
"2703205","AL",2014,1425.12154308617
"2703205","AL",2016,1741.32708445401
"2703304","AL",2012,1321.74698113207
"2703304","AL",2014,1500.57168
"2703304","AL",2016,1569.86085190039
"2703403","AL",2012,1008.02556776557
"2703403","AL",2014,1298.64251879699
"2703403","AL",2016,1490.18822834646
"2703502","AL",2012,810.888619047619
"2703502","AL",2014,1007.83618881119
"2703502","AL",2016,1195.39725
"2703601","AL",2012,915.388600953895
"2703601","AL",2014,1115.41128440367
"2703601","AL",2016,1229.70331302361
"2703700","AL",2012,1171.4630977131
"2703700","AL",2014,1327.44565701559
"2703700","AL",2016,1561.16859564165
"2703759","AL",2012,1182.19437219406
"2703759","AL",2014,1258.33620443443
"2703759","AL",2016,1441.69621614583
"2703809","AL",2012,1028.88719075145
"2703809","AL",2014,1363.91149024246
"2703809","AL",2016,1649.49613016095
"2703908","AL",2012,1007.77358695652
"2703908","AL",2014,1055.64338028169
"2703908","AL",2016,1268.17782608696
"2704005","AL",2012,1059.24550053822
"2704005","AL",2014,1231.44447124305
"2704005","AL",2016,1323.6000616378
"2704104","AL",2012,966.49495744681
"2704104","AL",2014,1123.96174662669
"2704104","AL",2016,1249.11946692357
"2704203","AL",2012,1053.13036862745
"2704203","AL",2014,1101.18965018094
"2704203","AL",2016,1333.38847897969
"2704302","AL",2012,1493.15310531533
"2704302","AL",2014,1805.41450231349
"2704302","AL",2016,2089.17732024994
"2704401","AL",2012,1046.1913317757
"2704401","AL",2014,1416.6983686636
"2704401","AL",2016,1309.64243645925
"2704500","AL",2012,971.91631067961
"2704500","AL",2014,1272.35302335109
"2704500","AL",2016,1394.74375816994
"2704609","AL",2012,1110.67344497608
"2704609","AL",2014,1530.35343601896
"2704609","AL",2016,1817.86413436693
"2704708","AL",2012,1804.15210069
"2704708","AL",2014,1668.68246263189
"2704708","AL",2016,1963.69808162268
"2704807","AL",2012,1022.11892890995
"2704807","AL",2014,1174.53298651252
"2704807","AL",2016,1358.6643401487
"2704906","AL",2012,888.003506097561
"2704906","AL",2014,1081.22347701149
"2704906","AL",2016,1275.3917630854
"2705002","AL",2012,959.593512195122
"2705002","AL",2014,1248.11981609195
"2705002","AL",2016,1465.52728994083
"2705101","AL",2012,922.415906254999
"2705101","AL",2014,1044.74232691234
"2705101","AL",2016,1246.940477244
"2705200","AL",2012,1008.02387676508
"2705200","AL",2014,1336.74111764706
"2705200","AL",2016,1519.37263535551
"2705309","AL",2012,928.310835579515
"2705309","AL",2014,1151.54580110497
"2705309","AL",2016,1346.69219298246
"2705408","AL",2012,823.854741200828
"2705408","AL",2014,1249.41094713656
"2705408","AL",2016,1409.87921325052
"2705507","AL",2012,950.058974687601
"2705507","AL",2014,1206.42941803778
"2705507","AL",2016,1308.89604128158
"2705606","AL",2012,962.341955445545
"2705606","AL",2014,1166.75053763441
"2705606","AL",2016,1312.23314424635
"2705705","AL",2012,1131.21322352941
"2705705","AL",2014,1349.8629556387
"2705705","AL",2016,1537.35859830668
"2705804","AL",2012,1035.49938438438
"2705804","AL",2014,1211.05466872111
"2705804","AL",2016,1320.82592169657
"2705903","AL",2012,886.947242647058
"2705903","AL",2014,988.316928327645
"2705903","AL",2016,1411.98470989761
"2706000","AL",2012,1076.07152647975
"2706000","AL",2014,1210.25750783699
"2706000","AL",2016,1511.65461656442
"2706109","AL",2012,1149.80203821656
"2706109","AL",2014,1544.54109170306
"2706109","AL",2016,1716.30575280899
"2706208","AL",2012,862.875872483222
"2706208","AL",2014,1059.81410526316
"2706208","AL",2016,1751.19727586207
"2706307","AL",2012,1115.29155035129
"2706307","AL",2014,1312.15605645546
"2706307","AL",2016,1517.16043539147
"2706406","AL",2012,1004.06441666667
"2706406","AL",2014,1354.02350835322
"2706406","AL",2016,1657.46591715976
"2706422","AL",2012,1060.7799015748
"2706422","AL",2014,1571.62030685921
"2706422","AL",2016,1774.2043853211
"2706448","AL",2012,851.960406639004
"2706448","AL",2014,1014.03848101266
"2706448","AL",2016,1255.00870743572
"2706505","AL",2012,796.00191722973
"2706505","AL",2014,1079.68204147764
"2706505","AL",2016,1233.19081509434
"2706604","AL",2012,823.340763209394
"2706604","AL",2014,1167.21839147287
"2706604","AL",2016,1391.30774058577
"2706703","AL",2012,1132.50039673775
"2706703","AL",2014,1339.19974856447
"2706703","AL",2016,1557.20266115373
"2706802","AL",2012,1074.27597790055
"2706802","AL",2014,1204.76416292975
