"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt"
"2704203","AL",2012,1163,237
"2704203","AL",2014,1913,845
"2704203","AL",2016,1846,746
"2704302","AL",2012,259697,193260
"2704302","AL",2014,268701,203334
"2704302","AL",2016,256236,195001
"2704401","AL",2012,813,245
"2704401","AL",2014,1018,257
"2704401","AL",2016,1084,328
"2704500","AL",2012,3096,2222
"2704500","AL",2014,4013,2806
"2704500","AL",2016,4015,3061
"2704609","AL",2012,393,51
"2704609","AL",2014,395,84
"2704609","AL",2016,360,76
"2704708","AL",2012,8374,6271
"2704708","AL",2014,8928,6938
"2704708","AL",2016,8886,7027
"2704807","AL",2012,948,316
"2704807","AL",2014,920,314
"2704807","AL",2016,923,354
"2704906","AL",2012,327,32
"2704906","AL",2014,341,23
"2704906","AL",2016,360,47
"2705002","AL",2012,789,174
"2705002","AL",2014,805,211
"2705002","AL",2016,797,222
"2705101","AL",2012,4690,3614
"2705101","AL",2014,5072,3940
"2705101","AL",2016,4881,3821
"2705200","AL",2012,1329,419
"2705200","AL",2014,1428,449
"2705200","AL",2016,1175,525
"2705309","AL",2012,365,13
"2705309","AL",2014,358,12
"2705309","AL",2016,337,19
"2705408","AL",2012,440,50
"2705408","AL",2014,449,45
"2705408","AL",2016,465,69
"2705507","AL",2012,2604,1009
"2705507","AL",2014,2817,1106
"2705507","AL",2016,2661,1840
"2705606","AL",2012,1002,259
"2705606","AL",2014,1046,240
"2705606","AL",2016,1036,308
"2705705","AL",2012,1392,612
"2705705","AL",2014,1678,681
"2705705","AL",2016,1807,854
"2705804","AL",2012,509,47
"2705804","AL",2014,539,57
"2705804","AL",2016,505,56
"2705903","AL",2012,269,6
"2705903","AL",2014,289,12
"2705903","AL",2016,290,11
"2706000","AL",2012,613,82
"2706000","AL",2014,558,77
"2706000","AL",2016,620,71
"2706109","AL",2012,433,60
"2706109","AL",2014,429,80
"2706109","AL",2016,414,67
"2706208","AL",2012,297,6
"2706208","AL",2014,275,9
"2706208","AL",2016,288,6
"2706307","AL",2012,6586,4520
"2706307","AL",2014,6959,4750
"2706307","AL",2016,6066,4348
"2706406","AL",2012,919,230
"2706406","AL",2014,1181,461
"2706406","AL",2016,1035,391
"2706422","AL",2012,490,52
"2706422","AL",2014,530,72
"2706422","AL",2016,539,110
"2706448","AL",2012,748,593
"2706448","AL",2014,1061,909
"2706448","AL",2016,986,794
"2706505","AL",2012,984,348
"2706505","AL",2014,1358,306
"2706505","AL",2016,1217,312
"2706604","AL",2012,493,44
"2706604","AL",2014,471,50
"2706604","AL",2016,448,54
"2706703","AL",2012,7770,5878
"2706703","AL",2014,8246,6200
"2706703","AL",2016,7389,5506
"2706802","AL",2012,810,810
"2706802","AL",2014,1054,1054
"2706802","AL",2016,1002,181
"2706901","AL",2012,3413,1807
"2706901","AL",2014,3916,2043
"2706901","AL",2016,4029,2195
"2707008","AL",2012,394,24
"2707008","AL",2014,43,34
"2707008","AL",2016,353,29
"2707107","AL",2012,1661,324
"2707107","AL",2014,1346,351
"2707107","AL",2016,1320,404
"2707206","AL",2012,492,26
"2707206","AL",2014,713,38
"2707206","AL",2016,621,30
"2707305","AL",2012,3928,3379
"2707305","AL",2014,3160,2539
"2707305","AL",2016,4059,3521
"2707404","AL",2012,746,233
"2707404","AL",2014,774,285
"2707404","AL",2016,809,319
"2707503","AL",2012,1310,657
"2707503","AL",2014,870,235
"2707503","AL",2016,813,194
"2707602","AL",2012,588,78
"2707602","AL",2014,632,123
"2707602","AL",2016,660,109
"2707701","AL",2012,14748,12853
"2707701","AL",2014,14919,12798
"2707701","AL",2016,14673,12739
"2707800","AL",2012,262,85
"2707800","AL",2014,659,81
"2707800","AL",2016,685,117
"2707909","AL",2012,856,485
"2707909","AL",2014,850,494
"2707909","AL",2016,788,471
"2708006","AL",2012,3523,2151
"2708006","AL",2014,4441,2748
"2708006","AL",2016,4379,3016
"2708105","AL",2012,750,213
"2708105","AL",2014,865,218
"2708105","AL",2016,821,143
"2708204","AL",2012,418,61
"2708204","AL",2014,404,105
"2708204","AL",2016,389,105
"2708303","AL",2012,5525,4724
"2708303","AL",2014,5786,4894
"2708303","AL",2016,5559,4738
"2708402","AL",2012,1779,469
"2708402","AL",2014,2564,1085
"2708402","AL",2016,2107,661
"2708501","AL",2012,8828,7480
"2708501","AL",2014,8893,7010
"2708501","AL",2016,8925,7072
"2708600","AL",2012,12301,10370
"2708600","AL",2014,9494,7516
"2708600","AL",2016,9870,8126
"2708709","AL",2012,750,268
"2708709","AL",2014,830,307
"2708709","AL",2016,924,398
"2708808","AL",2012,1904,709
"2708808","AL",2014,1993,879
"2708808","AL",2016,2010,883
"2708907","AL",2012,1278,418
"2708907","AL",2014,1417,687
"2708907","AL",2016,1226,610
"2708956","AL",2012,600,36
"2708956","AL",2014,630,45
"2708956","AL",2016,632,80
"2709004","AL",2012,357,25
"2709004","AL",2014,378,92
"2709004","AL",2016,446,152
"2709103","AL",2012,955,222
"2709103","AL",2014,932,204
"2709103","AL",2016,931,239
"2709152","AL",2012,6343,4313
"2709152","AL",2014,5450,3838
"2709152","AL",2016,4812,3854
"2709202","AL",2012,124,69
"2709202","AL",2014,1283,66
"2709202","AL",2016,1162,65
"2709301","AL",2012,6581,5588
"2709301","AL",2014,5454,3556
"2709301","AL",2016,4840,3090
"2709400","AL",2012,2362,992
"2709400","AL",2014,2254,1259
"2709400","AL",2016,2166,1104
"1300029","AM",2012,512,60
"1300029","AM",2014,1054,599
"1300029","AM",2016,563,84
"1300060","AM",2012,386,12
"1300060","AM",2014,525,9
"1300060","AM",2016,313,8
"1300086","AM",2012,245,15
"1300086","AM",2014,396,16
"1300086","AM",2016,418,13
"1300102","AM",2012,612,60
"1300102","AM",2014,614,33
"1300102","AM",2016,605,25
"1300144","AM",2012,809,189
"1300144","AM",2014,861,241
"1300144","AM",2016,933,319
"1300201","AM",2012,702,30
"1300201","AM",2014,948,21
"1300201","AM",2016,173,41
"1300300","AM",2012,888,160
"1300300","AM",2014,1108,287
"1300300","AM",2016,1329,258
"1300409","AM",2012,831,98
"1300409","AM",2014,843,216
"1300409","AM",2016,833,101
"1300508","AM",2012,1159,67
"1300508","AM",2014,1052,85
"1300508","AM",2016,1053,113
"1300607","AM",2012,1836,179
"1300607","AM",2014,1105,222
"1300607","AM",2016,1023,209
"1300631","AM",2012,24,19
"1300631","AM",2014,28,20
"1300631","AM",2016,28,23
"1300680","AM",2012,478,32
"1300680","AM",2014,503,51
"1300680","AM",2016,644,52
"1300706","AM",2012,1845,793
"1300706","AM",2014,2320,863
"1300706","AM",2016,1836,993
"1300805","AM",2012,1358,166
"1300805","AM",2014,1482,185
"1300805","AM",2016,1971,191
"1300839","AM",2012,850,13
"1300839","AM",2014,883,18
"1300839","AM",2016,888,7
"1300904","AM",2012,205,31
"1300904","AM",2014,283,36
"1300904","AM",2016,299,42
"1301001","AM",2012,917,127
"1301001","AM",2014,975,189
"1301001","AM",2016,883,301
"1301100","AM",2012,1220,262
"1301100","AM",2014,1247,193
"1301100","AM",2016,1079,189
"1301159","AM",2012,754,89
"1301159","AM",2014,825,10
"1301159","AM",2016,893,45
"1301209","AM",2012,2114,2070
"1301209","AM",2014,6117,1939
"1301209","AM",2016,8013,1337
"1301308","AM",2012,642,63
"1301308","AM",2014,882,45
"1301308","AM",2016,792,75
"1301407","AM",2012,1453,197
"1301407","AM",2014,1461,175
"1301407","AM",2016,1395,164
"1301506","AM",2012,858,51
"1301506","AM",2014,1011,238
"1301506","AM",2016,674,72
"1301605","AM",2012,1015,22
"1301605","AM",2014,1353,28
"1301605","AM",2016,1841,29
"1301654","AM",2012,698,64
"1301654","AM",2014,689,76
"1301654","AM",2016,753,63
"1301704","AM",2012,2202,1129
"1301704","AM",2014,2525,1294
"1301704","AM",2016,2473,1400
"1301803","AM",2012,366,30
"1301803","AM",2014,377,40
"1301803","AM",2016,376,28
"1301852","AM",2012,3441,1872
"1301852","AM",2014,3793,1722
"1301852","AM",2016,3960,1922
"1301902","AM",2012,8028,5007
"1301902","AM",2014,8919,6053
"1301902","AM",2016,7810,5241
"1301951","AM",2012,412,8
"1301951","AM",2014,427,8
"1301951","AM",2016,355,9
"1302009","AM",2012,1923,1350
"1302009","AM",2014,293,48
"1302009","AM",2016,200,27
"1302108","AM",2012,219,24
"1302108","AM",2014,456,15
"1302108","AM",2016,459,26
"1302207","AM",2012,334,12
"1302207","AM",2014,606,11
"1302207","AM",2016,492,12
"1302306","AM",2012,681,33
"1302306","AM",2014,921,31
"1302306","AM",2016,980,31
"1302405","AM",2012,1544,329
"1302405","AM",2014,1822,443
"1302405","AM",2016,1872,600
"1302504","AM",2012,4545,2236
"1302504","AM",2014,4015,2707
"1302504","AM",2016,3401,2358
"1302553","AM",2012,744,209
"1302553","AM",2014,1040,235
"1302553","AM",2016,873,396
"1302603","AM",2012,535702,409498
"1302603","AM",2014,550327,422785
"1302603","AM",2016,486929,360249
"1302702","AM",2012,1241,400
"1302702","AM",2014,1306,376
"1302702","AM",2016,1424,475
"1302801","AM",2012,614,23
"1302801","AM",2014,340,15
"1302801","AM",2016,616,21
"1302900","AM",2012,2934,670
"1302900","AM",2014,3373,779
"1302900","AM",2016,2169,628
"1303007","AM",2012,624,54
"1303007","AM",2014,788,54
"1303007","AM",2016,697,53
"1303106","AM",2012,530,512
"1303106","AM",2014,972,273
"1303106","AM",2016,1327,196
"1303205","AM",2012,682,251
"1303205","AM",2014,724,246
"1303205","AM",2016,1158,322
"1303304","AM",2012,630,56
"1303304","AM",2014,668,89
"1303304","AM",2016,569,96
"1303403","AM",2012,5824,2083
"1303403","AM",2014,6493,2483
"1303403","AM",2016,4288,2275
"1303502","AM",2012,891,13
"1303502","AM",2014,852,17
"1303502","AM",2016,855,20
"1303536","AM",2012,4444,2528
"1303536","AM",2014,5909,2931
"1303536","AM",2016,4746,3276
"1303569","AM",2012,1367,827
"1303569","AM",2014,2169,1171
"1303569","AM",2016,1560,720
"1303601","AM",2012,232,29
"1303601","AM",2014,299,43
"1303601","AM",2016,511,27
"1303700","AM",2012,843,41
"1303700","AM",2014,1201,85
"1303700","AM",2016,1268,128
"1303809","AM",2012,2462,340
"1303809","AM",2014,2266,355
"1303809","AM",2016,1433,402
"1303908","AM",2012,686,30
"1303908","AM",2014,868,154
"1303908","AM",2016,829,64
"1303957","AM",2012,381,29
"1303957","AM",2014,431,45
"1303957","AM",2016,297,53
"1304005","AM",2012,396,29
"1304005","AM",2014,477,30
"1304005","AM",2016,283,6
"1304062","AM",2012,2264,1578
"1304062","AM",2014,2199,1736
"1304062","AM",2016,1186,1116
"1304104","AM",2012,1030,16
"1304104","AM",2014,941,22
"1304104","AM",2016,20,19
"1304203","AM",2012,4636,3464
"1304203","AM",2014,4543,3376
"1304203","AM",2016,5220,1560
"1304237","AM",2012,25,14
"1304237","AM",2014,385,10
"1304237","AM",2016,521,13
"1304260","AM",2012,35,31
"1304260","AM",2014,225,67
"1304260","AM",2016,332,50
"1304302","AM",2012,596,63
"1304302","AM",2014,794,84
"1304302","AM",2016,841,108
"1304401","AM",2012,458,33
"1304401","AM",2014,611,42
"1304401","AM",2016,473,43
"1600055","AP",2012,410,120
"1600055","AP",2014,93,91
"1600055","AP",2016,291,104
"1600105","AP",2012,1036,364
"1600105","AP",2014,1043,734
"1600105","AP",2016,719,468
"1600154","AP",2012,1403,1403
"1600154","AP",2014,1928,1359
"1600154","AP",2016,1419,993
"1600204","AP",2012,612,347
"1600204","AP",2014,536,242
"1600204","AP",2016,510,253
"1600212","AP",2012,362,91
"1600212","AP",2014,333,51
"1600212","AP",2016,335,66
"1600238","AP",2012,2379,2075
"1600238","AP",2014,3487,2953
"1600238","AP",2016,764,204
"1600253","AP",2012,262,105
"1600253","AP",2014,307,87
"1600253","AP",2016,243,100
"1600279","AP",2012,2648,1416
"1600279","AP",2014,2507,1378
"1600279","AP",2016,1746,912
"1600303","AP",2012,99127,64134
"1600303","AP",2014,106177,60736
"1600303","AP",2016,107318,52238
"1600402","AP",2012,932,324
"1600402","AP",2014,1055,428
"1600402","AP",2016,801,259
"1600501","AP",2012,1297,486
"1600501","AP",2014,1141,618
"1600501","AP",2016,811,646
"1600535","AP",2012,1280,781
"1600535","AP",2014,1696,938
"1600535","AP",2016,1748,945
"1600550","AP",2012,262,18
"1600550","AP",2014,262,18
"1600550","AP",2016,114,35
"1600600","AP",2012,9944,6734
"1600600","AP",2014,11542,7259
"1600600","AP",2016,7507,6140
"1600709","AP",2012,619,204
"1600709","AP",2014,570,241
"1600709","AP",2016,767,354
"1600808","AP",2012,383,114
"1600808","AP",2014,156,155
"1600808","AP",2016,498,145
"2900108","BA",2012,536,91
"2900108","BA",2014,765,325
"2900108","BA",2016,683,678
"2900207","BA",2012,1114,263
"2900207","BA",2014,1175,391
"2900207","BA",2016,1479,425
"2900306","BA",2012,561,154
"2900306","BA",2014,782,259
"2900306","BA",2016,743,232
"2900355","BA",2012,546,99
"2900355","BA",2014,609,157
"2900355","BA",2016,106,103
"2900405","BA",2012,873,251
